city ,electoral_district ,candidate       ,candidate_party ,ticket ,ticket_percentage ,elected
連江縣  ,第01選區              ,陳雪生             ,中國國民黨           ,  2927 ,            68.06 ,True
連江縣  ,第01選區              ,林金官             ,無黨籍及未經政黨推薦      ,   760 ,            17.67 ,False
連江縣  ,第01選區              ,蘇柏豪             ,樹黨              ,   506 ,            11.76 ,False
連江縣  ,第01選區              ,張春寶             ,中華統一促進黨         ,   107 ,             2.48 ,False
金門縣  ,第01選區              ,洪志恒             ,無黨籍及未經政黨推薦      ,   647 ,             1.78 ,False
金門縣  ,第01選區              ,陳滄江             ,民主進步黨           ,  8367 ,            23.07 ,False
金門縣  ,第01選區              ,高丹樺             ,軍公教聯盟黨          ,   666 ,             1.83 ,False
金門縣  ,第01選區              ,張中法             ,無黨籍及未經政黨推薦      ,   670 ,             1.84 ,False
金門縣  ,第01選區              ,楊鎮浯             ,中國國民黨           , 16350 ,            45.08 ,True
金門縣  ,第01選區              ,陳仲立             ,無黨籍及未經政黨推薦      ,    49 ,             0.13 ,False
金門縣  ,第01選區              ,陳德輝             ,台灣工黨            ,   113 ,             0.31 ,False
金門縣  ,第01選區              ,吳成典             ,新黨              ,  9405 ,            25.93 ,False
宜蘭縣  ,第01選區              ,陳歐珀             ,民主進步黨           ,120393 ,            53.67 ,True
宜蘭縣  ,第01選區              ,孫博萮             ,無黨籍及未經政黨推薦      ,  7189 ,             3.2  ,False
宜蘭縣  ,第01選區              ,郭儒釗             ,軍公教聯盟黨          ,  1062 ,             0.47 ,False
宜蘭縣  ,第01選區              ,李志鏞             ,中國國民黨           , 63367 ,            28.25 ,False
宜蘭縣  ,第01選區              ,林獻山             ,泛盟黨             ,   634 ,             0.28 ,False
宜蘭縣  ,第01選區              ,吳子維             ,大愛憲改聯盟          ,   945 ,             0.42 ,False
宜蘭縣  ,第01選區              ,吳紹文             ,綠黨社會民主黨聯盟       , 10730 ,             4.78 ,False
宜蘭縣  ,第01選區              ,邱錫奎             ,無黨籍及未經政黨推薦      , 19961 ,             8.89 ,False
新竹縣  ,第01選區              ,林為洲             ,中國國民黨           , 93495 ,            36.74 ,True
新竹縣  ,第01選區              ,黃秀龍             ,無黨籍及未經政黨推薦      ,  2776 ,             1.09 ,False
新竹縣  ,第01選區              ,鄭永金             ,無黨籍及未經政黨推薦      , 85170 ,            33.47 ,False
新竹縣  ,第01選區              ,范振揆             ,中華統一促進黨         ,   909 ,             0.35 ,False
新竹縣  ,第01選區              ,蘇雯英             ,健保免費連線          ,  1603 ,             0.63 ,False
新竹縣  ,第01選區              ,李宗華             ,軍公教聯盟黨          ,  1520 ,             0.59 ,False
新竹縣  ,第01選區              ,卓恩宗             ,信心希望聯盟          ,  5442 ,             2.13 ,False
新竹縣  ,第01選區              ,邱靖雅             ,民國黨             , 63512 ,            24.96 ,False
苗栗縣  ,第01選區              ,杜文卿             ,民主進步黨           , 47837 ,            35.86 ,False
苗栗縣  ,第01選區              ,康世儒             ,民國黨             , 23134 ,            17.34 ,False
苗栗縣  ,第01選區              ,黃玉燕             ,無黨籍及未經政黨推薦      ,  3074 ,             2.3  ,False
苗栗縣  ,第01選區              ,陳超明             ,中國國民黨           , 56373 ,            42.26 ,True
苗栗縣  ,第01選區              ,林一方             ,自由台灣黨           ,  2976 ,             2.23 ,False
苗栗縣  ,第02選區              ,戴文祥             ,無黨籍及未經政黨推薦      ,  3076 ,             2.09 ,False
苗栗縣  ,第02選區              ,徐志榮             ,中國國民黨           , 73234 ,            49.9  ,True
苗栗縣  ,第02選區              ,周書涵             ,無黨籍及未經政黨推薦      ,  4468 ,             3.04 ,False
苗栗縣  ,第02選區              ,吳宜臻             ,民主進步黨           , 65465 ,            44.6  ,False
苗栗縣  ,第02選區              ,劉文忠             ,自由台灣黨           ,   518 ,             0.35 ,False
彰化縣  ,第01選區              ,陳文彬             ,民主進步黨           , 72003 ,            43.8  ,False
彰化縣  ,第01選區              ,王惠美             ,中國國民黨           , 92373 ,            56.19 ,True
彰化縣  ,第02選區              ,張耀元             ,民國黨             ,  4554 ,             2.8  ,False
彰化縣  ,第02選區              ,林滄敏             ,中國國民黨           , 65020 ,            40.01 ,False
彰化縣  ,第02選區              ,黃秀芳             ,民主進步黨           , 73227 ,            45.07 ,True
彰化縣  ,第02選區              ,許永金             ,無黨籍及未經政黨推薦      ,   860 ,             0.52 ,False
彰化縣  ,第02選區              ,黄玉芬             ,無黨籍及未經政黨推薦      , 12380 ,             7.61 ,False
彰化縣  ,第02選區              ,劉泳君             ,無黨籍及未經政黨推薦      ,   657 ,             0.4  ,False
彰化縣  ,第02選區              ,温國銘             ,勞工黨             ,  5773 ,             3.55 ,False
彰化縣  ,第03選區              ,洪遊江             ,自由台灣黨           ,  2012 ,             1.18 ,False
彰化縣  ,第03選區              ,鄭汝芬             ,中國國民黨           , 69448 ,            40.95 ,False
彰化縣  ,第03選區              ,陳朝容             ,親民黨             , 19287 ,            11.37 ,False
彰化縣  ,第03選區              ,張益勝             ,時代力量            ,  3229 ,             1.9  ,False
彰化縣  ,第03選區              ,洪宗熠             ,民主進步黨           , 75609 ,            44.58 ,True
彰化縣  ,第04選區              ,陳素月             ,民主進步黨           , 95518 ,            57.23 ,True
彰化縣  ,第04選區              ,張錦昆             ,中國國民黨           , 71367 ,            42.76 ,False
南投縣  ,第01選區              ,馬文君             ,中國國民黨           , 63600 ,            54.77 ,True
南投縣  ,第01選區              ,張國鑫             ,民主進步黨           , 52521 ,            45.22 ,False
南投縣  ,第02選區              ,蔡煌瑯             ,民主進步黨           , 56237 ,            43.35 ,False
南投縣  ,第02選區              ,許淑華             ,中國國民黨           , 73485 ,            56.64 ,True
雲林縣  ,第01選區              ,蘇治芬             ,民主進步黨           , 87378 ,            53.72 ,True
雲林縣  ,第01選區              ,張鎔麒             ,中國國民黨           , 69614 ,            42.8  ,False
雲林縣  ,第01選區              ,林富源             ,樹黨              ,  5642 ,             3.46 ,False
雲林縣  ,第02選區              ,王煒婷             ,時代力量            ,  7241 ,             4.07 ,False
雲林縣  ,第02選區              ,張佳偉             ,樹黨              ,  2814 ,             1.58 ,False
雲林縣  ,第02選區              ,吳威志             ,中國國民黨           , 46494 ,            26.16 ,False
雲林縣  ,第02選區              ,劉建國             ,民主進步黨           ,121114 ,            68.17 ,True
