city,electoral_district,no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
臺北市,第01選區,1,丁守中,中國國民黨,male,61,高雄市,博士,True,False
臺北市,第01選區,2,吳思瑤,民主進步黨,female,41,新北市,碩士,False,True
臺北市,第01選區,3,黃清原,台灣獨立黨,male,54,臺灣省,高中,False,False
臺北市,第01選區,4,王靜亞,民國黨,female,42,臺北市,博士,False,False
臺北市,第01選區,5,吳忠錚,健保免費連線,male,58,臺中市,專科,False,False
臺北市,第02選區,1,王銘宗,無黨籍及未經政黨推薦,male,58,臺灣省,博士,False,False
臺北市,第02選區,2,陳民乾,台灣獨立黨,male,54,臺北市,專科,False,False
臺北市,第02選區,3,吳俊德,信心希望聯盟,male,35,新北市,其他,False,False
臺北市,第02選區,4,林幸蓉,健保免費連線,female,65,臺中市,高中,False,False
臺北市,第02選區,5,潘懷宗,新黨,male,54,臺北市,博士,False,False
臺北市,第02選區,6,姚文智,民主進步黨,male,50,臺北市,碩士,True,True
臺北市,第02選區,7,陳建斌,自由台灣黨,male,41,臺灣省,專科,False,False
臺北市,第03選區,1,高士恩,大愛憲改聯盟,male,34,臺灣省,大學,False,False
臺北市,第03選區,2,潘建志,無黨籍及未經政黨推薦,male,49,臺灣省,大學,False,False
臺北市,第03選區,3,林新凱,台灣獨立黨,male,32,臺北市,大學,False,False
臺北市,第03選區,4,趙燕傑,無黨籍及未經政黨推薦,male,55,臺灣省,其他,False,False
臺北市,第03選區,5,邱正浩,和平鴿聯盟黨,male,26,臺中市,高中,False,False
臺北市,第03選區,6,陳科引,無黨籍及未經政黨推薦,male,29,臺北市,其他,False,False
臺北市,第03選區,7,李晏榕,綠黨社會民主黨聯盟,female,35,臺北市,碩士,False,False
臺北市,第03選區,8,李成嶽,軍公教聯盟黨,male,64,臺北市,大學,False,False
臺北市,第03選區,9,黃麗香,無黨籍及未經政黨推薦,female,55,臺灣省,碩士,False,False
臺北市,第03選區,10,蔣萬安,中國國民黨,male,37,臺北市,博士,False,True
臺北市,第04選區,1,何偉,無黨籍及未經政黨推薦,male,62,臺灣省,碩士,False,False
臺北市,第04選區,2,陳尚志,綠黨社會民主黨聯盟,male,47,高雄市,博士,False,False
臺北市,第04選區,3,黃珊珊,親民黨,female,46,臺中市,大學,False,False
臺北市,第04選區,4,李岳峰,和平鴿聯盟黨,male,38,臺灣省,專科,False,False
臺北市,第04選區,5,陳兆銘,台灣獨立黨,male,51,臺灣省,專科,False,False
臺北市,第04選區,6,李彥秀,中國國民黨,female,44,臺北市,大學,False,True
臺北市,第04選區,7,蕭亞譚,台灣團結聯盟,male,44,臺北市,博士,False,False
臺北市,第04選區,8,林少馳,時代力量,male,33,臺灣省,高中,False,False
臺北市,第05選區,1,林郁方,中國國民黨,male,64,高雄市,博士,True,False
臺北市,第05選區,2,李家幸,台灣獨立黨,female,50,臺灣省,其他,False,False
臺北市,第05選區,3,黃福卿,無黨籍及未經政黨推薦,male,78,臺灣省,大學,False,False
臺北市,第05選區,4,洪顯政,大愛憲改聯盟,male,62,臺南市,博士,False,False
臺北市,第05選區,5,龔偉綸,無黨籍及未經政黨推薦,male,33,臺北市,大學,False,False
臺北市,第05選區,6,林昶佐,時代力量,male,39,臺北市,大學,False,True
臺北市,第05選區,7,尤瑞敏,樹黨,female,51,臺灣省,其他,False,False
臺北市,第06選區,1,陳家宏,樹黨,male,32,臺北市,碩士,False,False
臺北市,第06選區,2,范雲,綠黨社會民主黨聯盟,female,47,新北市,博士,False,False
臺北市,第06選區,3,龎維良,無黨籍及未經政黨推薦,male,41,臺北市,碩士,False,False
臺北市,第06選區,4,趙衍慶,無黨籍及未經政黨推薦,male,79,其他,高中,False,False
臺北市,第06選區,5,林珍妤,台灣獨立黨,female,25,臺北市,大學,False,False
臺北市,第06選區,6,周芳如,無黨籍及未經政黨推薦,female,49,臺北市,大學,False,False
臺北市,第06選區,7,蔣慰慈,無黨籍及未經政黨推薦,female,58,臺灣省,大學,False,False
臺北市,第06選區,8,鄭村棋,人民民主陣線,male,63,臺北市,大學,False,False
臺北市,第06選區,9,曾獻瑩,信心希望聯盟,male,39,臺灣省,碩士,False,False
臺北市,第06選區,10,蔣乃辛,中國國民黨,male,67,其他,碩士,True,True
臺北市,第06選區,11,古文發,大愛憲改聯盟,male,47,臺灣省,大學,False,False
臺北市,第06選區,12,吳旭智,民國黨,male,40,臺灣省,博士,False,False
臺北市,第07選區,1,林文傑,無黨籍及未經政黨推薦,male,54,臺灣省,碩士,False,False
臺北市,第07選區,2,呂欣潔,綠黨社會民主黨聯盟,female,32,臺北市,碩士,False,False
臺北市,第07選區,3,詹益正,無黨籍及未經政黨推薦,male,61,臺北市,專科,False,False
臺北市,第07選區,4,蘇承英,和平鴿聯盟黨,female,34,臺灣省,高中,False,False
臺北市,第07選區,5,范揚律,大愛憲改聯盟,male,67,桃園市,大學,False,False
臺北市,第07選區,6,林芷芬,台灣獨立黨,female,60,金馬地區,高中,False,False
臺北市,第07選區,7,費鴻泰,中國國民黨,male,61,臺北市,博士,True,True
臺北市,第07選區,8,楊實秋,無黨籍及未經政黨推薦,male,57,臺北市,碩士,False,False
臺北市,第08選區,1,李慶元,無黨籍及未經政黨推薦,male,57,高雄市,碩士,False,False
臺北市,第08選區,2,賴樹聲,無黨籍及未經政黨推薦,male,60,臺北市,大學,False,False
臺北市,第08選區,3,苗博雅,綠黨社會民主黨聯盟,female,28,臺北市,大學,False,False
臺北市,第08選區,4,賴士葆,中國國民黨,male,64,臺中市,博士,True,True
臺北市,第08選區,5,陳如聖,台灣工黨,male,45,臺灣省,碩士,False,False
臺北市,第08選區,6,方景鈞,無黨籍及未經政黨推薦,male,85,其他,高中,False,False
新北市,第01選區,1,吳育昇,中國國民黨,male,57,臺灣省,碩士,True,False
新北市,第01選區,2,蘇通達,樹黨,male,42,高雄市,高中,False,False
新北市,第01選區,3,洪志成,健保免費連線,male,41,臺北市,碩士,False,False
新北市,第01選區,4,呂孫綾,民主進步黨,female,27,臺北市,碩士,False,True
新北市,第01選區,5,陳立基,無黨籍及未經政黨推薦,male,42,臺北市,博士,False,False
新北市,第01選區,6,陳筠棻,和平鴿聯盟黨,female,47,新北市,高中,False,False
新北市,第02選區,1,陳明義,中國國民黨,male,48,臺灣省,碩士,False,False
新北市,第02選區,2,林淑芬,民主進步黨,female,42,臺灣省,其他,True,True
新北市,第03選區,1,陳長發,大愛憲改聯盟,male,59,新北市,高中,False,False
新北市,第03選區,2,蕭忠漢,健保免費連線,male,60,臺北市,專科,False,False
新北市,第03選區,3,李乾龍,中國國民黨,male,66,新北市,碩士,False,False
新北市,第03選區,4,高志鵬,民主進步黨,male,52,臺灣省,碩士,True,True
新北市,第03選區,5,張碩文,親民黨,male,44,臺灣省,碩士,False,False
新北市,第03選區,6,林其瑩,社會福利黨,male,57,臺灣省,高中,False,False
新北市,第03選區,7,姚胤宏,樹黨,male,27,臺北市,高中,False,False
新北市,第03選區,8,黃茂,無黨籍及未經政黨推薦,male,71,臺灣省,專科,False,False
新北市,第03選區,9,蘇卿彥,無黨籍及未經政黨推薦,male,76,新北市,博士,False,False
新北市,第04選區,1,賈伯楷,綠黨社會民主黨聯盟,male,29,臺北市,大學,False,False
新北市,第04選區,2,吳秉叡,民主進步黨,male,49,臺灣省,碩士,True,True
新北市,第04選區,3,王斯儀,大愛憲改聯盟,female,53,臺灣省,大學,False,False
新北市,第04選區,4,陳茂嘉,中國國民黨,male,43,臺灣省,碩士,False,False
新北市,第04選區,5,劉鳳章,和平鴿聯盟黨,male,52,臺灣省,專科,False,False
新北市,第04選區,6,林麗容,正黨,female,61,臺灣省,博士,False,False
新北市,第04選區,7,邱鴻玕,無黨籍及未經政黨推薦,male,45,臺北市,專科,False,False
新北市,第05選區,1,蘇巧慧,民主進步黨,female,39,臺北市,碩士,False,True
新北市,第05選區,2,郭柏瑜,時代力量,male,27,臺北市,大學,False,False
新北市,第05選區,3,黃志雄,中國國民黨,male,39,新北市,博士,True,False
新北市,第06選區,1,姚玉霜,台灣工黨,female,49,臺北市,博士,False,False
新北市,第06選區,2,李建明,樹黨,male,31,臺北市,大學,False,False
新北市,第06選區,3,游信義,信心希望聯盟,male,43,新北市,大學,False,False
新北市,第06選區,4,康仁俊,親民黨,male,42,新北市,碩士,False,False
新北市,第06選區,5,莊豐銘,無黨籍及未經政黨推薦,male,38,新北市,專科,False,False
新北市,第06選區,6,李貴寶,民國黨,male,51,臺灣省,碩士,False,False
新北市,第06選區,7,黃鈞民,軍公教聯盟黨,male,58,臺灣省,大學,False,False
新北市,第06選區,8,林國春,中國國民黨,male,48,金馬地區,碩士,False,False
新北市,第06選區,9,張宏陸,民主進步黨,male,44,臺中市,碩士,False,True
新北市,第07選區,1,汪成華,健保免費連線,female,55,新北市,碩士,False,False
新北市,第07選區,2,羅致政,民主進步黨,male,51,臺灣省,博士,False,True
新北市,第07選區,3,李婉鈺,無黨籍及未經政黨推薦,female,43,新北市,碩士,False,False
新北市,第07選區,4,江惠貞,中國國民黨,female,52,新北市,碩士,True,False
新北市,第08選區,1,江永昌,民主進步黨,male,46,新北市,碩士,False,True
新北市,第08選區,2,張慶忠,中國國民黨,male,64,新北市,碩士,True,False
新北市,第08選區,3,童正億,無黨籍及未經政黨推薦,male,27,新北市,碩士,False,False
新北市,第08選區,4,吳金魁,軍公教聯盟黨,male,61,臺灣省,大學,False,False
新北市,第08選區,5,林建志,健保免費連線,male,49,新北市,專科,False,False
新北市,第08選區,6,邵伯祥,大愛憲改聯盟,male,65,臺南市,其他,False,False
新北市,第09選區,1,董建一,中華民國機車黨,male,42,臺灣省,高中,False,False
新北市,第09選區,2,張菁芳,民國黨,female,48,臺北市,碩士,False,False
新北市,第09選區,3,曾文聖,健保免費連線,male,66,臺北市,專科,False,False
新北市,第09選區,4,林德福,中國國民黨,male,62,新北市,高中,True,True
新北市,第09選區,5,李幸長,無黨籍及未經政黨推薦,male,63,臺南市,大學,False,False
新北市,第10選區,1,盧嘉辰,中國國民黨,male,63,新北市,碩士,True,False
新北市,第10選區,2,吳琪銘,民主進步黨,male,52,臺灣省,專科,False,True
新北市,第10選區,3,黃魯光,自由台灣黨,male,49,新北市,大學,False,False
新北市,第11選區,1,羅明才,中國國民黨,male,49,臺灣省,碩士,True,True
新北市,第11選區,2,曾柏瑜,綠黨社會民主黨聯盟,female,24,臺北市,大學,False,False
新北市,第11選區,3,陳永福,民主進步黨,male,57,新北市,大學,False,False
新北市,第12選區,1,鐘國誌,和平鴿聯盟黨,male,34,臺北市,高中,False,False
新北市,第12選區,2,李慶華,中國國民黨,male,67,其他,博士,True,False
新北市,第12選區,3,黃國昌,時代力量,male,42,新北市,博士,False,True
新北市,第12選區,4,陳永順,信心希望聯盟,male,50,臺灣省,專科,False,False
桃園市,第01選區,1,鄭運鵬,民主進步黨,male,42,臺北市,大學,False,True
桃園市,第01選區,2,陳根德,中國國民黨,male,59,桃園市,碩士,True,False
