city,electoral_district,candidate,candidate_party,ticket,ticket_percentage,elected
臺北市,第01選區,王郁揚,無黨籍及未經政黨推薦,4004,1.94,False
臺北市,第01選區,吳思瑤,民主進步黨,107850,52.12,True
臺北市,第01選區,李婉鈺,一邊一國行動黨,6636,3.21,False
臺北市,第01選區,孫士堅,合一行動聯盟,795,0.38,False
臺北市,第01選區,賴宗育,人民民主黨,1870,0.9,False
臺北市,第01選區,方儉,綠黨,2203,1.06,False
臺北市,第01選區,汪志冰,中國國民黨,83566,40.38,False
臺北市,第02選區,何志偉,民主進步黨,123652,62.87,True
臺北市,第02選區,郭啟源,中華統一促進黨,418,0.21,False
臺北市,第02選區,巫超勝,宗教聯盟,394,0.2,False
臺北市,第02選區,陳民乾,一邊一國行動黨,1192,0.61,False
臺北市,第02選區,孫大千,中國國民黨,68667,34.91,False
臺北市,第02選區,熊嘉玲,合一行動聯盟,2360,1.2,False
臺北市,第03選區,何景榮,台灣民眾黨,5730,2.61,False
臺北市,第03選區,吳怡農,民主進步黨,99539,45.4,False
臺北市,第03選區,田方宇,安定力量,1209,0.55,False
臺北市,第03選區,蔣萬安,中國國民黨,112784,51.44,True
臺北市,第04選區,郭正典,一邊一國行動黨,1062,0.43,False
臺北市,第04選區,李彥秀,中國國民黨,118432,47.44,False
臺北市,第04選區,文祥志,宗教聯盟,246,0.1,False
臺北市,第04選區,錢一凡,安定力量,1596,0.64,False
臺北市,第04選區,高嘉瑜,民主進步黨,125138,50.12,True
臺北市,第04選區,蕭蒼澤,喜樂島聯盟,338,0.14,False
臺北市,第04選區,郭佩雯,綠黨,2846,1.14,False
臺北市,第05選區,楊烱煌,聾國黨,352,0.19,False
臺北市,第05選區,徐立信,無黨籍及未經政黨推薦,22208,12.19,False
臺北市,第05選區,林郁方,中國國民黨,76437,41.94,False
臺北市,第05選區,盧憲孚,無黨籍及未經政黨推薦,385,0.21,False
臺北市,第05選區,邱一峰,一邊一國行動黨,551,0.3,False
臺北市,第05選區,林昶佐,無黨籍及未經政黨推薦,81853,44.91,True
臺北市,第05選區,黃義豐,無黨籍及未經政黨推薦,325,0.18,False
臺北市,第05選區,周慶峻,中華愛國同心黨,134,0.07,False
臺北市,第06選區,沈宜璇,台灣維新,1267,0.71,False
臺北市,第06選區,楊攸凱,無黨籍及未經政黨推薦,964,0.54,False
臺北市,第06選區,林奕華,中國國民黨,93785,52.41,True
臺北市,第06選區,蕭瑞麟,無黨籍及未經政黨推薦,739,0.41,False
臺北市,第06選區,羅世晧,勞動黨,677,0.38,False
臺北市,第06選區,謝佩芬,民主進步黨,75718,42.32,False
臺北市,第06選區,黃典本,無黨籍及未經政黨推薦,177,0.1,False
臺北市,第06選區,孟藹倫,中華婦女黨,3507,1.96,False
臺北市,第06選區,張余健,喜樂島聯盟,589,0.33,False
臺北市,第06選區,葉日勤,台灣基進,1508,0.84,False
臺北市,第07選區,王映心,台灣基進,1979,1.08,False
臺北市,第07選區,蔡宜芳,台灣民眾黨,17435,9.48,False
臺北市,第07選區,費鴻泰,中國國民黨,85082,46.28,True
臺北市,第07選區,許淑華,民主進步黨,79057,43.0,False
臺北市,第07選區,蘇伊文,言論自由聯盟,290,0.16,False
臺北市,第08選區,蕭曉玲,喜樂島聯盟,474,0.25,False
臺北市,第08選區,華珮君,台灣動物保護黨,7660,3.97,False
