city ,candidate ,candidate_party ,ticket  ,ticket_percentage ,elected
連江縣  ,朱立倫       ,中國國民黨           ,   3065 ,            68.59 ,False
連江縣  ,蔡英文       ,民主進步黨           ,    739 ,            16.53 ,True
連江縣  ,宋楚瑜       ,親民黨             ,    664 ,            14.86 ,False
金門縣  ,朱立倫       ,中國國民黨           ,  24327 ,            66.09 ,False
金門縣  ,蔡英文       ,民主進步黨           ,   6626 ,            18.0  ,True
金門縣  ,宋楚瑜       ,親民黨             ,   5852 ,            15.9  ,False
宜蘭縣  ,朱立倫       ,中國國民黨           ,  59216 ,            25.38 ,False
宜蘭縣  ,蔡英文       ,民主進步黨           , 144798 ,            62.06 ,True
宜蘭縣  ,宋楚瑜       ,親民黨             ,  29288 ,            12.55 ,False
新竹縣  ,朱立倫       ,中國國民黨           ,  94603 ,            35.28 ,False
新竹縣  ,蔡英文       ,民主進步黨           , 114023 ,            42.52 ,True
新竹縣  ,宋楚瑜       ,親民黨             ,  59510 ,            22.19 ,False
苗栗縣  ,朱立倫       ,中國國民黨           , 107779 ,            37.54 ,False
苗栗縣  ,蔡英文       ,民主進步黨           , 130461 ,            45.45 ,True
苗栗縣  ,宋楚瑜       ,親民黨             ,  48788 ,            16.99 ,False
彰化縣  ,朱立倫       ,中國國民黨           , 193117 ,            28.79 ,False
彰化縣  ,蔡英文       ,民主進步黨           , 378736 ,            56.47 ,True
彰化縣  ,宋楚瑜       ,親民黨             ,  98807 ,            14.73 ,False
南投縣  ,朱立倫       ,中國國民黨           ,  83604 ,            32.08 ,False
南投縣  ,蔡英文       ,民主進步黨           , 136104 ,            52.23 ,True
南投縣  ,宋楚瑜       ,親民黨             ,  40868 ,            15.68 ,False
雲林縣  ,朱立倫       ,中國國民黨           ,  86047 ,            24.93 ,False
雲林縣  ,蔡英文       ,民主進步黨           , 218842 ,            63.4  ,True
雲林縣  ,宋楚瑜       ,親民黨             ,  40236 ,            11.65 ,False
嘉義縣  ,朱立倫       ,中國國民黨           ,  65425 ,            23.38 ,False
嘉義縣  ,蔡英文       ,民主進步黨           , 182913 ,            65.37 ,True
嘉義縣  ,宋楚瑜       ,親民黨             ,  31469 ,            11.24 ,False
屏東縣  ,朱立倫       ,中國國民黨           , 121291 ,            26.99 ,False
屏東縣  ,蔡英文       ,民主進步黨           , 285297 ,            63.49 ,True
屏東縣  ,宋楚瑜       ,親民黨             ,  42768 ,             9.51 ,False
臺東縣  ,朱立倫       ,中國國民黨           ,  43581 ,            44.62 ,False
臺東縣  ,蔡英文       ,民主進步黨           ,  37517 ,            38.41 ,True
臺東縣  ,宋楚瑜       ,親民黨             ,  16565 ,            16.96 ,False
花蓮縣  ,朱立倫       ,中國國民黨           ,  73894 ,            47.72 ,False
花蓮縣  ,蔡英文       ,民主進步黨           ,  57198 ,            36.93 ,True
花蓮縣  ,宋楚瑜       ,親民黨             ,  23751 ,            15.33 ,False
澎湖縣  ,朱立倫       ,中國國民黨           ,  12564 ,            29.47 ,False
澎湖縣  ,蔡英文       ,民主進步黨           ,  21658 ,            50.81 ,True
澎湖縣  ,宋楚瑜       ,親民黨             ,   8401 ,            19.71 ,False
基隆市  ,朱立倫       ,中國國民黨           ,  68357 ,            35.28 ,False
基隆市  ,蔡英文       ,民主進步黨           ,  93402 ,            48.21 ,True
基隆市  ,宋楚瑜       ,親民黨             ,  31955 ,            16.49 ,False
新竹市  ,朱立倫       ,中國國民黨           ,  71771 ,            32.42 ,False
新竹市  ,蔡英文       ,民主進步黨           , 113386 ,            51.22 ,True
新竹市  ,宋楚瑜       ,親民黨             ,  36198 ,            16.35 ,False
嘉義市  ,朱立倫       ,中國國民黨           ,  38822 ,            27.95 ,False
嘉義市  ,蔡英文       ,民主進步黨           ,  83143 ,            59.86 ,True
嘉義市  ,宋楚瑜       ,親民黨             ,  16926 ,            12.18 ,False
臺北市  ,朱立倫       ,中國國民黨           , 546491 ,            37.49 ,False
臺北市  ,蔡英文       ,民主進步黨           , 757383 ,            51.95 ,True
臺北市  ,宋楚瑜       ,親民黨             , 153804 ,            10.55 ,False
高雄市  ,朱立倫       ,中國國民黨           , 391823 ,            26.0  ,False
高雄市  ,蔡英文       ,民主進步黨           , 955168 ,            63.39 ,True
高雄市  ,宋楚瑜       ,親民黨             , 159765 ,            10.6  ,False
新北市  ,朱立倫       ,中國國民黨           , 709374 ,            33.33 ,False
新北市  ,蔡英文       ,民主進步黨           ,1165888 ,            54.79 ,True
新北市  ,宋楚瑜       ,親民黨             , 252486 ,            11.86 ,False
臺中市  ,朱立倫       ,中國國民黨           , 430005 ,            29.81 ,False
臺中市  ,蔡英文       ,民主進步黨           , 793281 ,            55.0  ,True
臺中市  ,宋楚瑜       ,親民黨             , 218810 ,            15.17 ,False
臺南市  ,朱立倫       ,中國國民黨           , 219196 ,            22.06 ,False
臺南市  ,蔡英文       ,民主進步黨           , 670608 ,            67.51 ,True
臺南市  ,宋楚瑜       ,親民黨             , 103432 ,            10.41 ,False
桃園市  ,朱立倫       ,中國國民黨           , 369013 ,            34.38 ,False
桃園市  ,蔡英文       ,民主進步黨           , 547573 ,            51.02 ,True
桃園市  ,宋楚瑜       ,親民黨             , 156518 ,            14.58 ,False
