,NID,code,State,Error line,Error
0,d0629080,"print ""Hello world""",Compile Error,"1
",SyntaxError: Missing parentheses in call to 'print'
1,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,-1,
2,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,-1,
3,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,-1,
4,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,-1,
5,d0572176,"a=int(input())
b=int(input())
print('a+b='+(a+b))",Runtime Error,-1,
6,d0686491,"a=9,b=3
print""a+b""",Compile Error,2,SyntaxError: invalid syntax
7,d0686491,"a=9
b=3
print""a+b""",Compile Error,3,SyntaxError: invalid syntax
8,d0686491,"a=9
b=3
print ""a+b""",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
9,d0686491,"a=9
b=3
print ""a+b=""",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
10,d0686491,"a=9
b=3
print ""a+b="",a+b",Compile Error,3," line 3
    print ""a+b="""
11,d0686491,"a=9
b=3
print ""a+b="",a+b",Compile Error,3," line 3
    print ""a+b="""
12,d0686491,"a=9
b=3
print ""a+b="",a+b",Compile Error,3," line 3
    print ""a+b="""
13,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
14,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
15,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
16,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
17,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
18,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
19,d0686491,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
20,d0686491,"a=
b=
print (a+b)",Compile Error,1,SyntaxError: invalid syntax
21,d0686491,"a=
b=
print (a+b=)",Compile Error,1,SyntaxError: invalid syntax
22,d0686491,"a=
b=
print (""a+b="")",Compile Error,1,SyntaxError: invalid syntax
23,d0686491,"a=
b=
print (""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
24,d0686491,"a=
b=
print(""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
25,d0686491,"print(""a+b="",a+b)",Runtime Error,-1,
26,d0686491,"print(""a+b="",a+b)",Runtime Error,-1,
27,d0686491,"print(""a+b="",a+b)",Runtime Error,-1,
28,d0686491,"a=
b=
print (""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
29,d0686491,"a=
b=
print ""a+b="",a+b",Compile Error,1,SyntaxError: invalid syntax
30,d0686491,"a=9
b=3
print (""a+b="",a+b=%d%a+b)",Compile Error,3," line 3
    print (""a+b="""
31,d0686491,"a=
b=
print (""a+b="",a+b=%d%a+b)",Compile Error,1,SyntaxError: invalid syntax
32,d0686491,"a=
b=
print (a+b=%d%a+b)",Compile Error,1,SyntaxError: invalid syntax
33,d0686491,"a=
b=
print (""a+b=%d%a+b"")",Compile Error,1,SyntaxError: invalid syntax
34,d0686491,a+b=%d %(a+b),Compile Error,1,SyntaxError: invalid syntax
35,d0686491,print(a+b=%d %(a+b)),Compile Error,1,SyntaxError: invalid syntax
36,d0686491,print(a+b=%d %(a+b)),Compile Error,1,SyntaxError: invalid syntax
37,d0686491,"print(""a+b="",a+b=%d %(a+b))",Compile Error,1," line 1
    print(""a+b="""
38,d0686491,"a=
b=
print(""a+b="",a+b=%d %(a+b))",Compile Error,1,SyntaxError: invalid syntax
39,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print(""a+b="",test)",Compile Error,1,SyntaxError: invalid syntax
40,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print('a+b=',test)",Compile Error,1,SyntaxError: invalid syntax
41,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print('a+b=',test)",Compile Error,1,SyntaxError: invalid syntax
42,d0686491,"a=
b=
test='a+b=%d %(a+b)'
print('a+b=',test)",Compile Error,1,SyntaxError: invalid syntax
43,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
44,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
45,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
46,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
47,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
48,d0686491,"a=int(input())
b=int(input())
print (""a+b="",a+b0",Compile Error,3," line 3
    print (""a+b="""
49,d0548292,"input('a+b==')
a=9
  b=3",Compile Error,3,IndentationError
50,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
51,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
52,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
53,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
54,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
55,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
56,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
57,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
58,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
59,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
60,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
61,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
62,d0548292,"a=9
  b=3
print(a+b)",Compile Error,2,IndentationError
63,d0536475,"a=input(9)
b=input(3)
print(format(a,b,sum))",Runtime Error,-1,
64,d0536475,"a=input(9)
b=input(3)
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,-1,
65,d0536475,"a=input(""9"")
b=input(""3"")
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,-1,
66,d0536475,"a=input(""9"")
b=input(""3"")
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,-1,
67,d0536475,"a=input(""9"")
b=input(""3"")
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,-1,
68,d0536475,"a=input(""9"")
b=input(""3"")
sum=float(a)+float(b)  
print(format(a,b,sum))",Runtime Error,-1,
69,d0536475,"a=9
b=3
  print(a+b)",Compile Error,3,IndentationError
70,d0536475,"a=9
b=3
  print(a+b)",Compile Error,3,IndentationError
71,d0536475,"a=9
b=3
  print(a+b)",Compile Error,3,IndentationError
72,d0536475,"a=9
b=3
print a+b",Compile Error,3,SyntaxError: Missing parentheses in call to 'print'
73,d0536475,print(a+b),Runtime Error,-1,
74,d0536475,print(a+b),Runtime Error,-1,
75,d0536475,print(a+b),Runtime Error,-1,
76,d0536475,print(a+b),Runtime Error,-1,
77,d0536475,print(a+b),Runtime Error,-1,
78,d0536475,print(a+b),Runtime Error,-1,
79,d0536475,print(a+b),Runtime Error,-1,
80,d0536475,print(a+b),Runtime Error,-1,
81,d0536475,print(a+b),Runtime Error,-1,
82,d0536475,print(a+b),Runtime Error,-1,
83,d0536475,print(a+b),Runtime Error,-1,
84,d0536475,print(a+b),Runtime Error,-1,
85,d0536475,print(a+b),Runtime Error,-1,
86,d0536475,print(a+b),Runtime Error,-1,
87,d0536475,"a=9

               b=3

               print(""a+b=""+ str(a+b))",Compile Error,3,IndentationError
88,d0536475,"a=9

               b=3

               print(""a+b=""+ str(a+b))",Compile Error,3,IndentationError
89,d0536475,"a=9

               b=3

               print(""a+b=""+ str(a+b))",Compile Error,3,IndentationError
